case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
haar,coord_oracle,2000,0.2855852256892999,0.0033142777435454045,-0.01870192802469801,-0.4643612366846649
haar,coord_oracle,4000,0.20390226495925137,0.002374507918491081,-0.01870192802469801,-0.4643612366846649
haar,coord_oracle,8000,0.13788998381021184,0.001614544954405042,-0.01870192802469801,-0.4643612366846649
haar,rmsprop,250,0.3386750620890261,0.017548776048923454,-0.021471048111525892,-1.1339849033319265
haar,rmsprop,500,0.23921001052732493,0.004481814688560351,-0.019252637775239646,-1.1339849033319265
haar,rmsprop,1000,0.16107597336668888,0.007417028462315707,-0.021567640983111546,-1.1339849033319265
haar,rmsprop,2000,0.08850914784435779,0.00222428994289371,-0.024237385402915913,-1.1339849033319265
haar,rmsprop,4000,0.03519243589335711,0.0016098706637100522,-0.02694523967453639,-1.1339849033319265
haar,rmsprop,8000,0.010052005455764405,0.0025694013127616562,-0.031116344655588345,-1.1339849033319265
haar,sgd,250,0.7577799738084245,0.006035236557563685,0.0,-0.433036100687827
haar,sgd,500,0.5916241719171739,0.0031405395372771866,0.0,-0.433036100687827
haar,sgd,1000,0.45847226657727225,0.0017301849795779499,0.0,-0.433036100687827
haar,sgd,2000,0.34647824042459463,0.0016107977614287917,0.0,-0.433036100687827
haar,sgd,4000,0.25374651790473923,0.0008756334715693017,0.0,-0.433036100687827
haar,sgd,8000,0.17730383176685843,0.0005644938348342473,0.0,-0.433036100687827
haar,spectral_oracle,250,1.1544667841660154,0.017813589283091177,0.5,-0.9493215047803613
haar,spectral_oracle,500,0.7390112262060947,0.004332487121046599,0.5,-0.9493215047803613
haar,spectral_oracle,1000,0.4515514288467071,0.006478526020019354,0.5,-0.9493215047803613
haar,spectral_oracle,2000,0.2563474497069376,0.003069665211801825,0.5,-0.9493215047803613
haar,spectral_oracle,4000,0.12804172787281703,0.000377962789683573,0.5,-0.9493215047803613
haar,spectral_oracle,8000,0.05169608333477062,0.00037312657321223077,0.5,-0.9493215047803613
