C,M_opt,N_opt,K_opt,n_eff_opt,gamma_eff_opt,risk_opt,K_time_cap,K_wd_cap,a,b,theta,q_eff,alpha,weight_decay,phase
24244620.170823306,14912.166854903364,1625.8281178533944,13.894954943731374,999.9999999999995,0.6150711683596141,0.3789802488086081,16.721164745222513,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
34551072.94592218,19254.817131448508,1794.411897555267,13.894954943731374,999.9999999999995,0.5572856496116718,0.37609682778213077,17.36158563118072,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
49238826.317067415,24920.99600485579,1975.7968865880543,13.894954943731374,999.9999999999995,0.5061248991675811,0.37349113927187594,18.010297012859212,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
70170382.86703837,32330.9708526242,2170.376608450744,13.894954943731374,999.9999999999995,0.4607495289556307,0.3711367251482579,18.66641815867834,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
100000000.0,40864.76122518948,2447.0961533077284,13.894954943731374,999.9999999999995,0.40864761225189467,0.36900772397591386,19.539555495520098,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
142510267.03029963,53235.358662538725,2676.9851957545447,13.894954943731374,999.9999999999995,0.3735545499414448,0.3670842744732299,20.219475847874378,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
203091762.0904739,67486.14109657115,3009.3847238924823,13.894954943731374,999.9999999999995,0.33229383802631646,0.36534615274792387,21.14143034068715,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
289426612.47167516,88280.27605969246,3278.496912220501,13.894954943731374,999.9999999999995,0.30501782578245806,0.3637749507506813,21.842617352805906,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
412462638.29013646,112243.78039005748,3674.7037284096346,13.894954943731374,999.9999999999995,0.2721307822094237,0.3623552313896016,22.81287050410341,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
587801607.2274925,147437.93534615313,3986.7731859338537,13.894954943731374,999.9999999999995,0.2508294185202717,0.3610723783754554,23.53235244681344,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
837677640.0682924,188014.79911180356,4455.381406280497,13.894954943731374,999.9999999999995,0.22444767547630304,0.3599124280959417,24.54999375205825,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
1193776641.7144358,240042.70165652467,4973.184493743126,13.894954943731374,999.9999999999995,0.20107840383925465,0.3588645216579707,25.60010468676489,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
1701254279.8525858,306830.58900592907,5544.604549905914,13.894954943731374,999.9999999999995,0.1803555133642432,0.3579176905574849,26.68310777056205,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
2424462017.0823307,406148.1759651151,5969.402697232777,13.894954943731374,999.9999999999995,0.1675209481952972,0.357061739021259,27.444154659046244,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
3455107294.5922184,520689.5317266001,6635.6380992241675,13.894954943731374,999.9999999999995,0.1507014073170926,0.35628802406012355,28.572965134354874,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
4923882631.706752,668323.7001286563,7367.5116276123,13.894954943731374,999.9999999999995,0.13573103790595367,0.35558887256225186,29.734803857823053,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
7017038286.703836,858832.666648783,8170.437105151978,13.894954943731374,999.9999999999995,0.12239247265846231,0.35495706297823326,30.929945770460066,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
10000000000.0,1104953.302240988,9050.156219017319,13.894954943731374,999.9999999999995,0.11049533022409874,0.35438608848903286,32.15863101774424,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
10000.0,39.30092935589398,254.4469091161656,11.726119131180175,254.44690911616553,0.9999999999999997,0.6498965408529537,11.726119131180175,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
14251.026703029993,45.59229809424956,312.575309837857,12.848982640703166,312.57530983785693,0.9999999999999998,0.6182230430794913,12.848982640703166,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
20309.17620904735,52.95339671512115,383.5292439936709,14.071969396217927,383.5292439936707,0.9999999999999996,0.5883352796488267,14.071969396217927,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
28942.661247167518,60.66897211706865,477.0587045931634,15.505164081660956,477.05870459316327,0.9999999999999998,0.5601090183756413,15.505164081660956,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
41246.26382901348,69.50874553984181,593.396751857239,17.08432604066372,593.3967518572387,0.9999999999999994,0.5334370051117369,17.08432604066372,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
58780.16072274912,79.63651827163878,738.105607809862,18.824321672862578,738.1056078098617,0.9999999999999996,0.5082151474988718,18.824321672862578,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
83767.76400682924,91.23995826962367,918.1039272210832,20.741531483300886,918.1039272210828,0.9999999999999997,0.48434792336894306,20.741531483300886,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
119377.66417144357,119.95610072091662,995.1779313765891,21.498112312398597,995.1779313765885,0.9999999999999994,0.46208239738539775,21.498112312398597,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
170125.42798525892,170.95373475765592,995.1547898408232,21.4978901287701,995.1547898408227,0.9999999999999994,0.4426135292512344,21.4978901287701,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
242446.20170823307,242.61337143614705,999.3109624299583,21.537747919541523,999.3109624299578,0.9999999999999996,0.42563484802060586,21.537747919541523,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
345510.7294592218,342.26323025159013,1009.4883087652872,21.544346900318832,999.9999999999994,0.9906008730533066,0.41109116219153974,21.634961688773355,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
492388.26317067415,488.58769278142114,1007.778686293994,21.544346900318832,999.9999999999994,0.9922813546269768,0.39827030973592403,21.618669592279264,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
701703.8286703837,691.6825514563668,1014.4882608256007,21.544346900318832,999.9999999999994,0.9857186510824575,0.38722130440972485,21.682521680223083,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
1000000.0,989.6786625907839,1010.4289784142632,21.544346900318832,999.9999999999994,0.9896786625907833,0.377544562005643,21.64391940039239,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
1425102.6703029992,1400.9939480957757,1017.2082986082787,21.544346900318832,999.9999999999994,0.9830828173228401,0.3691790947076736,21.708340242742374,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
2030917.620904739,1874.6143480779606,1083.3788949642021,21.544346900318832,999.9999999999994,0.9230381029649302,0.36182287527735285,22.324990151656586,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
2894266.1247167517,2412.0804878350896,1199.9044556404656,21.544346900318832,999.9999999999994,0.8333996888662569,0.3551847940834985,23.36197900698092,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
4124626.382901348,3114.6746214746195,1324.255944573939,21.544346900318832,999.9999999999994,0.7551410315335497,0.3491864653395349,24.408611810395445,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
5878016.072274912,3941.6569605191235,1491.255106964145,21.544346900318832,999.9999999999994,0.6705760773793903,0.34376417672787213,25.73164378628432,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
8376776.400682924,5123.006837193268,1635.1288739002136,21.544346900318832,999.9999999999994,0.611572589758467,0.3388642767722181,26.80682182863083,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
11937766.417144358,6517.823884698784,1831.55707001679,21.544346900318832,999.9999999999994,0.5459835330115225,0.3344371074919678,28.193073572398937,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
17012542.798525892,8526.56197687707,1995.2406192157755,21.544346900318832,999.9999999999994,0.5011926834133154,0.3304349174429501,29.28630411244479,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
24244620.170823306,10905.942006561238,2223.0652020923317,21.544346900318832,999.9999999999994,0.4498293613065452,0.3268181903475258,30.728001220403716,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
34551072.94592218,13982.337090730854,2471.0513501227715,21.544346900318832,999.9999999999994,0.4046860458607287,0.3235500186150372,32.20679088947717,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
